Name,Height,Weight,Position,School,Class,RSCI
Marshawn Powell,6-7,240,PF,Arkansas,Jr.,61
Joel Embiid,7-0,250,C,Kansas,Fr.,23
Jabari Parker,6-9,240,SF/PF,Duke,Fr.,5
Andrew Wiggins,6-8,200,SF,Kansas,Fr.,1
Marcus Smart,6-3,227,PG,Oklahoma State,So.,9
Julius Randle,6-9,250,PF,Kentucky,Fr.,2
Noah Vonleh,6-9,247,PF,Indiana,Fr.,10
Zach LaVine,6-6,180,PG/SG,UCLA,Fr.,52
Elfrid Payton,6-4,185,PG,Louisiana Lafayette,Jr.,
Doug McDermott,6-7,220,SF,Creighton,Sr.,155
Aaron Gordon,6-9,220,PF,Arizona,Fr.,3
Gary Harris,6-4,205,SG,Michigan St.,So.,18
Rodney Hood,6-8,208,SF,Duke,So.,26
Nik Stauskas,6-6,207,SG,Michigan,So.,80
Glenn Robinson,6-7,211,SF,Michigan,So.,21
TJ Warren,6-8,220,SF,NC State,So.,23
Kyle Anderson,6-9,230,SF,UCLA,So.,3
Jordan Clarkson,6-4,186,PG/SG,Missouri,Jr.,206
Shabazz Napier,6-0,175,PG,UConn,Sr.,85
Tyler Ennis,6-2,180,PG,Syracuse,Fr.,27
James Young,6-6,215,SG,Kentucky,Fr.,11
Jerami Grant,6-8,214,SF,Syracuse,So.,42
Cleanthony Early,6-7,210,SF/PF,Wichita State,Sr.,
CJ Wilcox,6-5,201,SG,Washington,Sr.,
Adreian Payne,6-10,240,PF,Michigan St.,Sr.,21
Jordan Adams,6-5,209,SG,UCLA,So.,58
Spencer Dinwiddie,6-6,205,PG/SG,Colorado,Jr.,133
KJ McDaniels,6-6,196,SF,Clemson,Jr.,224
Jarnell Stokes,6-8,260,PF,Tennessee,Jr.,41
Johnny O'Bryant,6-8,257,PF/C,LSU,Jr.,37
